zip,year,est total,est gen,est cold,est farm,est other
93312,2012,0,0,0,0,0
95665,2012,0,0,0,0,0
95610,2012,0,0,0,0,0
96041,2012,0,0,0,0,0
94121,2012,0,0,0,0,0
95664,2012,0,0,0,0,0
94129,2012,0,0,0,0,0
92026,2012,0,0,0,0,0
94805,2012,0,0,0,0,0
91343,2012,0,0,0,0,0
95835,2012,1,1,0,0,0
95119,2012,0,0,0,0,0
92841,2012,3,2,0,0,1
90044,2012,0,0,0,0,0
95120,2012,1,0,0,0,1
94551,2012,2,1,1,0,0
92374,2012,11,10,0,0,1
93234,2012,0,0,0,0,0
94590,2012,0,0,0,0,0
93036,2012,0,0,0,0,0
91335,2012,1,1,0,0,0
92106,2012,0,0,0,0,0
93933,2012,2,0,0,0,2
90221,2012,14,13,0,1,0
92136,2012,0,0,0,0,0
94112,2012,1,1,0,0,0
95453,2012,0,0,0,0,0
90071,2012,0,0,0,0,0
94105,2012,0,0,0,0,0
90505,2012,2,2,0,0,0
93930,2012,1,0,1,0,0
92274,2012,0,0,0,0,0
92056,2012,0,0,0,0,0
91104,2012,0,0,0,0,0
94526,2012,2,2,0,0,0
91916,2012,0,0,0,0,0
90016,2012,0,0,0,0,0
92363,2012,0,0,0,0,0
94588,2012,2,2,0,0,0
95469,2012,0,0,0,0,0
90620,2012,2,1,1,0,0
91750,2012,0,0,0,0,0
92377,2012,2,2,0,0,0
90503,2012,0,0,0,0,0
93010,2012,0,0,0,0,0
93923,2012,0,0,0,0,0
95401,2012,1,1,0,0,0
95492,2012,2,1,0,0,1
95064,2012,0,0,0,0,0
91001,2012,0,0,0,0,0
92314,2012,1,0,0,0,1
90241,2012,3,2,0,0,1
95062,2012,0,0,0,0,0
90805,2012,2,2,0,0,0
91351,2012,2,1,0,0,1
93223,2012,0,0,0,0,0
92107,2012,0,0,0,0,0
94555,2012,0,0,0,0,0
91387,2012,0,0,0,0,0
94619,2012,0,0,0,0,0
90260,2012,1,0,0,0,1
90255,2012,0,0,0,0,0
95630,2012,3,1,0,0,2
95652,2012,2,2,0,0,0
95829,2012,0,0,0,0,0
93012,2012,4,4,0,0,0
96094,2012,0,0,0,0,0
93560,2012,0,0,0,0,0
92410,2012,2,2,0,0,0
93117,2012,0,0,0,0,0
90034,2012,0,0,0,0,0
92694,2012,1,1,0,0,0
96032,2012,0,0,0,0,0
93001,2012,0,0,0,0,0
93257,2012,4,3,1,0,0
95338,2012,0,0,0,0,0
94602,2012,0,0,0,0,0
92069,2012,1,0,0,0,1
93111,2012,0,0,0,0,0
90023,2012,15,6,7,0,2
92881,2012,2,2,0,0,0
90002,2012,0,0,0,0,0
95501,2012,2,1,1,0,0
92629,2012,0,0,0,0,0
95060,2012,2,1,0,0,1
93635,2012,0,0,0,0,0
95357,2012,5,3,1,1,0
94089,2012,0,0,0,0,0
90720,2012,0,0,0,0,0
91007,2012,1,1,0,0,0
90068,2012,0,0,0,0,0
92250,2012,0,0,0,0,0
91941,2012,0,0,0,0,0
95709,2012,0,0,0,0,0
91006,2012,0,0,0,0,0
96108,2012,0,0,0,0,0
95442,2012,0,0,0,0,0
94970,2012,0,0,0,0,0
94956,2012,0,0,0,0,0
94103,2012,1,1,0,0,0
90045,2012,1,1,0,0,0
94501,2012,2,2,0,0,0
92833,2012,5,2,1,0,2
96001,2012,0,0,0,0,0
94801,2012,3,1,0,0,2
90042,2012,0,0,0,0,0
92332,2012,0,0,0,0,0
94015,2012,0,0,0,0,0
92563,2012,3,2,0,0,1
92054,2012,0,0,0,0,0
95306,2012,0,0,0,0,0
95236,2012,0,0,0,0,0
92264,2012,0,0,0,0,0
91602,2012,1,1,0,0,0
94513,2012,1,1,0,0,0
93455,2012,1,0,0,1,0
92081,2012,3,2,0,0,1
91105,2012,0,0,0,0,0
90304,2012,0,0,0,0,0
90005,2012,0,0,0,0,0
95123,2012,0,0,0,0,0
91320,2012,0,0,0,0,0
94022,2012,0,0,0,0,0
93908,2012,1,1,0,0,0
95666,2012,0,0,0,0,0
90807,2012,1,1,0,0,0
94947,2012,0,0,0,0,0
93524,2012,0,0,0,0,0
92870,2012,3,3,0,0,0
93463,2012,0,0,0,0,0
92115,2012,0,0,0,0,0
95688,2012,6,6,0,0,0
